,img_name,tooth_id,quad,index,center_x_wrong,center_y_wrong,width_wrong,height_wrong,wrong_quadrant,wrong_order,manual_bad_bounding_box,manual_ok,image_link
70,whole-good-purring-real-vacuous-top_7d52cedd42b47d2e2e979ccb0b053822.jpg,f_3_3,3,3,True,False,False,False,True,True,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/whole-good-purring-real-vacuous-top_7d52cedd42b47d2e2e979ccb0b053822.jpg
71,whole-good-purring-real-vacuous-top_7d52cedd42b47d2e2e979ccb0b053822.jpg,f_3_4,3,4,True,False,False,False,True,True,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/whole-good-purring-real-vacuous-top_7d52cedd42b47d2e2e979ccb0b053822.jpg
72,whole-good-purring-real-vacuous-top_7d52cedd42b47d2e2e979ccb0b053822.jpg,f_3_5,3,5,True,False,False,False,True,True,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/whole-good-purring-real-vacuous-top_7d52cedd42b47d2e2e979ccb0b053822.jpg
73,whole-good-purring-real-vacuous-top_7d52cedd42b47d2e2e979ccb0b053822.jpg,f_3_6,3,6,True,False,False,False,True,True,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/whole-good-purring-real-vacuous-top_7d52cedd42b47d2e2e979ccb0b053822.jpg
74,whole-good-purring-real-vacuous-top_7d52cedd42b47d2e2e979ccb0b053822.jpg,f_3_7,3,7,True,False,False,False,True,True,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/whole-good-purring-real-vacuous-top_7d52cedd42b47d2e2e979ccb0b053822.jpg
75,whole-good-purring-real-vacuous-top_7d52cedd42b47d2e2e979ccb0b053822.jpg,f_3_8,3,8,True,False,False,False,True,True,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/whole-good-purring-real-vacuous-top_7d52cedd42b47d2e2e979ccb0b053822.jpg
90,uninterested-loutish-little-silent-ossified-soil_25cd09f256241e15fb68a338dc424807.jpg,f_3_3,3,3,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/uninterested-loutish-little-silent-ossified-soil_25cd09f256241e15fb68a338dc424807.jpg
99,uninterested-loutish-little-silent-ossified-soil_25cd09f256241e15fb68a338dc424807.jpg,f_4_5,4,5,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/uninterested-loutish-little-silent-ossified-soil_25cd09f256241e15fb68a338dc424807.jpg
103,sincere-accidental-third-gentle-tedious-question_61608a7372089f6e69b6a963431f8329.jpg,f_2_2,2,2,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/sincere-accidental-third-gentle-tedious-question_61608a7372089f6e69b6a963431f8329.jpg
393,greedy-plucky-glamorous-naughty-harmonious-reputation_2bf0f9069511e1025e494a3e782a778b.jpg,f_1_5,1,5,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/greedy-plucky-glamorous-naughty-harmonious-reputation_2bf0f9069511e1025e494a3e782a778b.jpg
747,nutty-abnormal-talented-lopsided-coordinated-case_09930d7f9bc25339e43fd297e37b0970.jpg,f_2_4,2,4,True,False,False,False,True,True,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/nutty-abnormal-talented-lopsided-coordinated-case_09930d7f9bc25339e43fd297e37b0970.jpg
748,nutty-abnormal-talented-lopsided-coordinated-case_09930d7f9bc25339e43fd297e37b0970.jpg,f_2_5,2,5,True,False,False,False,True,True,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/nutty-abnormal-talented-lopsided-coordinated-case_09930d7f9bc25339e43fd297e37b0970.jpg
749,nutty-abnormal-talented-lopsided-coordinated-case_09930d7f9bc25339e43fd297e37b0970.jpg,f_2_6,2,6,True,False,False,False,True,True,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/nutty-abnormal-talented-lopsided-coordinated-case_09930d7f9bc25339e43fd297e37b0970.jpg
750,nutty-abnormal-talented-lopsided-coordinated-case_09930d7f9bc25339e43fd297e37b0970.jpg,f_2_7,2,7,True,False,False,False,True,True,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/nutty-abnormal-talented-lopsided-coordinated-case_09930d7f9bc25339e43fd297e37b0970.jpg
751,nutty-abnormal-talented-lopsided-coordinated-case_09930d7f9bc25339e43fd297e37b0970.jpg,f_2_8,2,8,True,False,False,False,True,True,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/nutty-abnormal-talented-lopsided-coordinated-case_09930d7f9bc25339e43fd297e37b0970.jpg
